date,lpc,ca,pc,bq,ndp,gpc,oth,institute,sample_size,cpc,polling_method,ppc
2005-06-28,35,NA,NA,13,18,6,NA,Ipsos-Reid,NA,27,NA,NA
2005-06-20,37,NA,NA,13,20,NA,NA,Decima Research,NA,25,NA,NA
2005-06-20,34,NA,NA,12,16,6,NA,Ipsos-Reid,NA,29,NA,NA
2005-06-11,34,NA,NA,13,19,9,NA,Strategic Counsel,NA,26,NA,NA
2005-06-06,38,NA,NA,13,19,NA,NA,Pollara,NA,27,NA,NA
2005-06-05,37,NA,NA,13,21,NA,NA,Decima Research,NA,23,NA,NA
2005-05-22,36,NA,NA,13,21,NA,NA,Decima Research,NA,27,NA,NA
2005-05-22,38,NA,NA,12,17,4,NA,Leger Marketing,1509,27,NA,NA
2005-05-20,34,NA,NA,NA,17,6,NA,Ipsos-Reid,NA,28,NA,NA
2005-05-18,33,NA,NA,12,19,6,NA,Strategic Counsel,NA,30,NA,NA
2005-05-17,29,NA,NA,13,17,NA,NA,COMPAS,NA,38,NA,NA
2005-05-17,34.7,NA,NA,12.6,18.4,5.6,NA,EKOS,NA,28.3,NA,NA
2005-05-17,33,NA,NA,10,22,NA,NA,Environics,NA,31,NA,NA
2005-05-15,32,NA,NA,14,19,NA,NA,Decima Research,NA,31,NA,NA
2005-05-14,27,NA,NA,13,19,6,NA,Ipsos-Reid,NA,31,NA,NA
2005-05-10,27,NA,NA,14,20,7,NA,Strategic Counsel,NA,31,NA,NA
2005-05-08,37,NA,NA,12,18,NA,NA,Decima Research,NA,28,NA,NA
2005-05-07,32,NA,NA,12,16,5,NA,Ipsos-Reid,NA,31,NA,NA
2005-05-05,36.1,NA,NA,12.2,17.9,4.3,NA,Nanos Research,NA,29.5,NA,NA
2005-05-04,31,NA,NA,15,17,NA,NA,Pollara,NA,36,NA,NA
2005-05-02,32,NA,NA,15,20,NA,NA,Decima Research,NA,29,NA,NA
2005-04-28,30,NA,NA,12,17,5,NA,Ipsos-Reid,1000,33,Telephone,NA
2005-04-28,32.5,NA,NA,12,19,5.5,NA,EKOS,NA,30.5,NA,NA
2005-04-28,33,NA,NA,13,13,10,NA,GPC P.A.,NA,30,NA,NA
2005-04-28,30,NA,NA,16,18,10,NA,Strategic Counsel,NA,28,NA,NA
2005-04-24,31,NA,NA,11,18,5,NA,Ipsos-Reid,1000,34,Telephone,NA
2005-04-24,27,NA,NA,15,21,NA,NA,Decima Research,NA,32,NA,NA
2005-04-21,30,NA,NA,12,18,5,NA,Ipsos-Reid,1000,35,Telephone,NA
2005-04-21,31,NA,NA,12,18,NA,NA,Pollara,NA,35,NA,NA
2005-04-18,31.6,NA,NA,11.9,14.9,3.8,NA,Nanos Research,NA,37.9,NA,NA
2005-04-17,28,NA,NA,14,18,NA,NA,Decima Research,NA,35,NA,NA
2005-04-14,27,NA,NA,10,15,7,NA,Ipsos-Reid,1000,36,Telephone,NA
2005-04-14,30,NA,NA,15,18,1,NA,COMPAS,NA,34,NA,NA
2005-04-14,27,NA,NA,11,24,2,NA,Environics,NA,33,NA,NA
2005-04-12,36,NA,NA,11,19,4,NA,Environics,NA,30,NA,NA
2005-04-11,31,NA,NA,13,18,NA,NA,Leger Marketing,1504,34,Telephone,NA
2005-04-10,27,NA,NA,12,19,7,NA,Ipsos-Reid,1000,30,Telephone,NA
2005-04-10,31,NA,NA,14,19,NA,NA,Decima Research,NA,32,NA,NA
2005-04-09,25,NA,NA,12.6,20.5,5,NA,EKOS,NA,36.2,NA,NA
2005-04-07,34,NA,NA,10,15,7,NA,Ipsos-Reid,1000,30,Telephone,NA
2008-10-13,22.6,NA,NA,7.1,9.5,NA,NA,Asking Canadians,NA,22.6,NA,NA
2008-10-13,19.4,NA,NA,9.6,9.8,NA,NA,EKOS Research Associates,NA,26.4,NA,NA
2008-10-13,20,NA,NA,7,9,NA,NA,Angus Reid Strategies,NA,27,NA,NA
2008-10-12,21.4,NA,NA,8.2,9.5,NA,NA,Nanos Research,NA,26.7,NA,NA
2008-10-12,18,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-10-12,19,NA,NA,9,11,NA,NA,Harris-Decima,NA,25,NA,NA
2008-10-11,18,NA,NA,11,10,NA,NA,Strategic Counsel,NA,28,NA,NA
2008-10-11,22,NA,NA,9,10,NA,NA,Nanos Research,NA,27,NA,NA
2008-10-11,18,NA,NA,9,10,NA,NA,Harris-Decima,NA,26,NA,NA
2008-10-11,18,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,27,NA,NA
2008-10-10,19,NA,NA,9,9,NA,NA,Strategic Counsel,NA,28,NA,NA
2008-10-10,18,NA,NA,11,9,NA,NA,Harris-Decima,NA,25,NA,NA
2008-10-10,22,NA,NA,8,10,NA,NA,Nanos Research,NA,28,NA,NA
2008-10-10,19,NA,NA,6,9,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2008-10-10,19,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-10-09,18,NA,NA,8,9,NA,NA,Ipsos Reid,NA,29,NA,NA
2008-10-09,21,NA,NA,10,10,NA,NA,Segma,NA,23,NA,NA
2008-10-09,22,NA,NA,8,10,NA,NA,Nanos Research,NA,27,NA,NA
2008-10-09,18,NA,NA,12,9,NA,NA,Harris-Decima,NA,26,NA,NA
2008-10-09,19,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-10-08,20,NA,NA,7,10,NA,NA,Nanos Research,NA,29,NA,NA
2008-10-08,19,NA,NA,12,8,NA,NA,Harris-Decima,NA,27,NA,NA
2008-10-08,20,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-10-07,20,NA,NA,7,11,NA,NA,Nanos Research,NA,29,NA,NA
2008-10-07,18,NA,NA,10,9,NA,NA,Angus Reid Strategies,NA,27,NA,NA
2008-10-07,20,NA,NA,12,8,NA,NA,Harris-Decima,NA,27,NA,NA
2008-10-07,20,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-10-06,21,NA,NA,13,8,NA,NA,Harris-Decima,NA,26,NA,NA
2008-10-06,18,NA,NA,6,11,NA,NA,Nanos Research,NA,31,NA,NA
2008-10-06,19,NA,NA,12,10,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-10-05,21,NA,NA,12,8,NA,NA,Harris-Decima,NA,25,NA,NA
2008-10-05,20,NA,NA,6,11,NA,NA,Nanos Research,NA,29,NA,NA
2008-10-05,19,NA,NA,10,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-10-04,20,NA,NA,13,8,NA,NA,Harris-Decima,NA,24,NA,NA
2008-10-04,19,NA,NA,7,10,NA,NA,Nanos Research,NA,30,NA,NA
2008-10-04,18,NA,NA,10,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-10-03,19,NA,NA,6,11,NA,NA,Angus Reid Strategies,NA,25,NA,NA
2008-10-03,20,NA,NA,13,9,NA,NA,Harris-Decima,NA,22,NA,NA
2008-10-03,19,NA,NA,8,10,NA,NA,Nanos Research,NA,28,NA,NA
2008-10-03,19,NA,NA,10,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-10-02,19,NA,NA,10,11,NA,NA,Ipsos Reid,NA,23,NA,NA
2008-10-02,18,NA,NA,12,9,NA,NA,Harris-Decima,NA,22,NA,NA
2008-10-02,18,NA,NA,9,10,NA,NA,Nanos Research,NA,30,NA,NA
2008-10-02,19,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-10-01,18,NA,NA,12,9,NA,NA,Harris-Decima,NA,23,NA,NA
2008-10-01,19,NA,NA,8,10,NA,NA,Nanos Research,NA,26,NA,NA
2008-10-01,19,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-30,17,NA,NA,11,10,NA,NA,Harris-Decima,NA,24,NA,NA
2008-09-30,20,NA,NA,9,10,NA,NA,Nanos Research,NA,26,NA,NA
2008-09-30,20,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-29,19,NA,NA,9,10,NA,NA,Strategic Counsel,NA,24,NA,NA
2008-09-29,18,NA,NA,11,9,NA,NA,Harris-Decima,NA,26,NA,NA
2008-09-29,20,NA,NA,8,10,NA,NA,Nanos Research,NA,26,NA,NA
2008-09-29,19,NA,NA,10,9,NA,NA,EKOS Research Associates,NA,27,NA,NA
2008-09-28,19,NA,NA,9,8,NA,NA,Harris-Decima,NA,26,NA,NA
2008-09-28,20,NA,NA,9,9,NA,NA,Nanos Research,NA,26,NA,NA
2008-09-28,20,NA,NA,10,10,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-09-27,19,NA,NA,9,9,NA,NA,Nanos Research,NA,27,NA,NA
2008-09-27,19,NA,NA,9,9,NA,NA,Harris-Decima,NA,25,NA,NA
2008-09-26,19,NA,NA,9,8,NA,NA,Nanos Research,NA,25,NA,NA
2008-09-26,19,NA,NA,9,9,NA,NA,Harris-Decima,NA,23,NA,NA
2008-09-25,21,NA,NA,7,10,NA,NA,Angus Reid Strategies,NA,21,NA,NA
2008-09-25,18,NA,NA,11,9,NA,NA,Ipsos Reid,NA,23,NA,NA
2008-09-25,19,NA,NA,8,9,NA,NA,Nanos Research,NA,24,NA,NA
2008-09-25,18,NA,NA,10,9,NA,NA,Harris-Decima,NA,24,NA,NA
2008-09-25,20,NA,NA,10,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-24,19,NA,NA,8,9,NA,NA,Nanos Research,NA,25,NA,NA
2008-09-24,19,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-24,17,NA,NA,12,9,NA,NA,Harris-Decima,NA,23,NA,NA
2008-09-23,19,NA,NA,11,9,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-09-23,16,NA,NA,12,9,NA,NA,Harris-Decima,NA,24,NA,NA
2008-09-23,21,NA,NA,7,9,NA,NA,Nanos Research,NA,26,NA,NA
2008-09-22,19,NA,NA,12,8,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-22,21,NA,NA,6,8,NA,NA,Nanos Research,NA,27,NA,NA
2008-09-22,17,NA,NA,11,8,NA,NA,Harris-Decima,NA,24,NA,NA
2008-09-21,19,NA,NA,12,8,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-09-21,22,NA,NA,6,7,NA,NA,Nanos Research,NA,30,NA,NA
2008-09-21,17,NA,NA,12,8,NA,NA,Harris-Decima,NA,23,NA,NA
2008-09-20,20,NA,NA,7,7,NA,NA,Nanos Research,NA,31,NA,NA
2008-09-20,17,NA,NA,11,8,NA,NA,Harris-Decima,NA,23,NA,NA
2008-09-19,18,NA,NA,7,7,NA,NA,Nanos Research,NA,29,NA,NA
2008-09-19,17,NA,NA,12,8,NA,NA,Harris-Decima,NA,23,NA,NA
2008-09-18,19,NA,NA,10,9,NA,NA,Angus Reid Strategies,NA,24,NA,NA
2008-09-18,15,NA,NA,10,8,NA,NA,Ipsos Reid,NA,27,NA,NA
2008-09-18,18,NA,NA,13,8,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-18,18,NA,NA,7,7,NA,NA,Nanos Research,NA,28,NA,NA
2008-09-18,15,NA,NA,12,8,NA,NA,Harris-Decima,NA,25,NA,NA
2008-09-17,18,NA,NA,6,7,NA,NA,Nanos Research,NA,30,NA,NA
2008-09-17,16,NA,NA,11,8,NA,NA,Harris-Decima,NA,27,NA,NA
2008-09-17,18,NA,NA,12,8,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-09-16,17,NA,NA,7,7,NA,NA,Nanos Research,NA,31,NA,NA
2008-09-16,15,NA,NA,10,8,NA,NA,Harris-Decima,NA,28,NA,NA
2008-09-16,19,NA,NA,11,8,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-09-15,17,NA,NA,8,6,NA,NA,Nanos Research,NA,31,NA,NA
2008-09-15,16,NA,NA,10,8,NA,NA,Harris-Decima,NA,27,NA,NA
2008-09-15,19,NA,NA,11,9,NA,NA,EKOS Research Associates,NA,23,NA,NA
2008-09-15,16,NA,NA,10,7,NA,NA,Segma,NA,23,NA,NA
2008-09-14,18,NA,NA,9,6,NA,NA,Nanos Research,NA,31,NA,NA
2008-09-14,16,NA,NA,9,8,NA,NA,Harris-Decima,NA,27,NA,NA
2008-09-14,19,NA,NA,11,9,NA,NA,EKOS Research Associates,NA,25,NA,NA
2008-09-13,13,NA,NA,11,8,NA,NA,Ipsos Reid,NA,29,NA,NA
2008-09-13,15,NA,NA,9,8,NA,NA,Harris-Decima,NA,26,NA,NA
2008-09-13,17,NA,NA,9,6,NA,NA,Nanos Research,NA,30,NA,NA
2008-09-12,18,NA,NA,10,9,NA,NA,Angus Reid Strategies,NA,23,NA,NA
2008-09-12,15,NA,NA,9,9,NA,NA,Nanos Research,NA,30,NA,NA
2008-09-11,19,NA,NA,11,8,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-09-11,13,NA,NA,11,8,NA,NA,Ipsos Reid,NA,29,NA,NA
2008-09-11,14,NA,NA,9,9,NA,NA,Nanos Research,NA,31,NA,NA
2008-09-11,14,NA,NA,9,8,NA,NA,Harris-Decima,NA,26,NA,NA
2008-09-10,13,NA,NA,9,9,NA,NA,Nanos Research,NA,32,NA,NA
2008-09-09,19,NA,NA,10,8,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-09-09,21,NA,NA,7,9,NA,NA,Angus Reid Strategies,NA,24,NA,NA
2008-09-08,15,NA,NA,9,9,NA,NA,Harris-Decima,NA,28,NA,NA
2008-09-06,15,NA,NA,7,8,NA,NA,Segma,NA,25,NA,NA
2008-09-04,15,NA,NA,11,10,NA,NA,EKOS Research Associates,NA,26,NA,NA
2008-09-03,19,NA,NA,10,6,NA,NA,EKOS Research Associates,NA,24,NA,NA
2008-09-02,19,NA,NA,7,8,NA,NA,Environics,NA,28,NA,NA
2008-08-31,17,NA,NA,9,8,NA,NA,Strategic Counsel,NA,29,NA,NA
2008-08-28,14,NA,NA,10,NA,NA,NA,Ipsos Reid,NA,31,NA,NA
2008-08-28,18,NA,NA,8,9,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2008-08-28,16,NA,NA,10,9,NA,NA,Ipsos Reid,NA,31,NA,NA
2008-08-27,17,NA,NA,7,8,NA,NA,Nanos Research,NA,35,NA,NA
2008-08-24,15,NA,NA,9,7,NA,NA,Harris-Decima,NA,34,NA,NA
2008-08-14,14,NA,NA,10,9,NA,NA,Ipsos Reid,NA,30,NA,NA
2008-08-10,15,NA,NA,13,6,NA,NA,Harris-Decima,NA,33,NA,NA
2008-07-31,14,NA,NA,11,9,NA,NA,Ipsos Reid,NA,30,NA,NA
2008-07-30,17,NA,NA,8,9,NA,NA,Angus Reid Strategies,NA,30,NA,NA
2008-07-10,13,NA,NA,10,11,NA,NA,Ipsos Reid,NA,32,NA,NA
2008-07-05,17,NA,NA,8,10,NA,NA,Environics,NA,30,NA,NA
2008-06-29,16,NA,NA,12,10,NA,NA,Harris-Decima,NA,31,NA,NA
2008-06-24,19,NA,NA,7,9,NA,NA,Angus Reid Strategies,NA,30,NA,NA
2008-06-09,18,NA,NA,10,10,NA,NA,Strategic Counsel,NA,30,NA,NA
2008-06-08,15,NA,NA,12,6,NA,NA,Harris-Decima,NA,31,NA,NA
2008-05-29,14,NA,NA,11,9,NA,NA,Ipsos-Reid,NA,29,NA,NA
2008-05-19,18,NA,NA,8,11,NA,NA,Angus Reid Strategies,NA,27,NA,NA
2008-05-11,15,NA,NA,8,11,NA,NA,Nanos Research,NA,34,NA,NA
2008-05-11,16,NA,NA,10,9,NA,NA,Strategic Counsel,NA,31,NA,NA
2008-05-08,14,NA,NA,9,NA,NA,NA,Ipsos-Reid,NA,32,NA,NA
2008-05-01,17,NA,NA,11,NA,NA,NA,Ipsos-Reid,NA,29,NA,NA
2008-04-23,20,NA,NA,8,8,NA,NA,Angus Reid Strategies,NA,30,NA,NA
2008-04-21,14,NA,NA,NA,NA,NA,NA,Harris-Decima,NA,33,NA,NA
2008-04-13,16,NA,NA,11,9,NA,NA,Harris-Decima,NA,33,NA,NA
2008-04-13,15,NA,NA,10,8,NA,NA,Strategic Counsel,NA,30,NA,NA
2008-04-10,16,NA,NA,10,NA,NA,NA,Ipsos-Reid,NA,30,NA,NA
2008-04-09,15,NA,NA,9,9,NA,NA,Segma,NA,30,NA,NA
2008-04-09,14,NA,NA,6,8,NA,NA,Nanos Research,NA,36,NA,NA
2008-04-07,17,NA,NA,7,13,NA,NA,Environics,NA,28,NA,NA
2008-04-06,15,NA,NA,12,9,NA,NA,Harris-Decima,NA,32,NA,NA
2008-03-30,13,NA,NA,12,9,NA,NA,Harris-Decima,NA,30,NA,NA
2008-03-28,18,NA,NA,9,9,NA,NA,Angus Reid Strategies,NA,26,NA,NA
2008-03-20,13,NA,NA,8,10,NA,NA,Ipsos-Reid,NA,33,NA,NA
2008-03-16,17,NA,NA,8,9,NA,NA,Harris-Decima,NA,32,NA,NA
2008-03-16,14,NA,NA,12,10,NA,NA,Strategic Counsel,NA,27,NA,NA
2008-03-06,15,NA,NA,9,9,NA,NA,Ipsos-Reid,NA,31,NA,NA
2008-03-02,17,NA,NA,13,8,NA,NA,Harris-Decima,NA,30,NA,NA
2008-03-02,18,NA,NA,9,10,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2008-02-20,14,NA,NA,8,10,NA,NA,Nanos Research,NA,34,NA,NA
2008-02-18,17,NA,NA,8,9,NA,NA,Angus Reid Strategies,NA,31,NA,NA
2008-02-17,13,NA,NA,9,8,NA,NA,Harris-Decima,NA,33,NA,NA
2008-02-17,12,NA,NA,12,10,NA,NA,Strategic Counsel,NA,27,NA,NA
2008-02-14,13,NA,NA,10,9,NA,NA,Ipsos-Reid,NA,29,NA,NA
2008-02-10,16,NA,NA,7,8,NA,NA,Léger Marketing,NA,32,NA,NA
2008-02-04,19,NA,NA,8,10,NA,NA,Nanos Research,NA,33,NA,NA
2008-01-31,18,NA,NA,8,8,NA,NA,UniMarketing,NA,33,NA,NA
2008-01-27,16,NA,NA,12,9,NA,NA,Harris-Decima,NA,32,NA,NA
2008-01-24,14,NA,NA,10,NA,NA,NA,Ipsos-Reid,NA,29,NA,NA
2008-01-13,14,NA,NA,10,11,NA,NA,Strategic Counsel,NA,30,NA,NA
2008-01-10,13,NA,NA,9,9,NA,NA,Ipsos-Reid,NA,35,NA,NA
2008-01-06,13,NA,NA,9,10,NA,NA,Harris-Decima,NA,30,NA,NA
2008-01-03,17,NA,NA,7,13,NA,NA,Environics,NA,22,NA,NA
2007-12-20,15,NA,NA,8,8,NA,NA,Ipsos-Reid,NA,33,NA,NA
2007-12-17,15,NA,NA,12,11,NA,NA,Harris-Decima,NA,32,NA,NA
2007-12-14,17,NA,NA,10,10,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2007-12-09,16,NA,NA,13,10,NA,NA,Strategic Counsel,NA,29,NA,NA
2007-12-06,16,NA,NA,9,10,NA,NA,Ipsos-Reid,NA,29,NA,NA
2007-12-02,17,NA,NA,11,8,NA,NA,Harris-Decima,NA,28,NA,NA
2007-11-22,15,NA,NA,8,8,NA,NA,Ipsos-Reid,NA,29,NA,NA
2007-11-19,17,NA,NA,9,8,NA,NA,Harris-Decima,NA,28,NA,NA
2007-11-13,16,NA,NA,8,11,NA,NA,Strategic Counsel,NA,31,NA,NA
2007-11-12,17,NA,NA,12,8,NA,NA,Harris-Decima,NA,29,NA,NA
2007-11-11,12,NA,NA,13,11,NA,NA,Strategic Counsel,NA,32,NA,NA
2007-11-08,17,NA,NA,6,9,NA,NA,SES Research,NA,34,NA,NA
2007-11-08,15,NA,NA,7,8,NA,NA,Ipsos-Reid,NA,28,NA,NA
2007-11-01,13,NA,NA,7,12,NA,NA,Ipsos-Reid,NA,28,NA,NA
2007-10-29,17,NA,NA,10,9,NA,NA,Harris-Decima,NA,29,NA,NA
2007-10-25,17,NA,NA,8,9,NA,NA,Ipsos-Reid,NA,27,NA,NA
2007-10-18,19,NA,NA,9,10,NA,NA,Unimarketing,NA,25,NA,NA
2007-10-18,14,NA,NA,8,9,NA,NA,Ipsos-Reid,NA,27,NA,NA
2007-10-17,17,NA,NA,9,9,NA,NA,Angus Reid Strategies,NA,29,NA,NA
2007-10-14,19,NA,NA,11,7,NA,NA,Environics,NA,29,NA,NA
2007-10-14,15,NA,NA,12,10,NA,NA,Strategic Counsel,NA,29,NA,NA
2007-10-13,16,NA,NA,7,8,NA,NA,Ipsos-Reid,NA,28,NA,NA
2007-10-09,17,NA,NA,10,8,NA,NA,Harris-Decima,NA,28,NA,NA
2007-10-03,16,NA,NA,10,7,NA,NA,Harris-Decima,NA,31,NA,NA
2007-09-18,17,NA,NA,14,5,NA,NA,Harris-Decima,NA,29,NA,NA
2007-08-23,19,NA,NA,9,9,NA,NA,Angus Reid Strategies,NA,29,NA,NA
2007-08-14,13,NA,NA,8,10,NA,NA,SES Research,NA,33,NA,NA
2007-08-12,17,NA,NA,8,10,NA,NA,Strategic Counsel,NA,33,NA,NA
2007-07-27,17,NA,NA,8,8,NA,NA,Ipsos-Reid,NA,32,NA,NA
2007-07-18,19,NA,NA,8,9,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2007-07-15,17,NA,NA,10,10,NA,NA,Strategic Counsel,NA,31,NA,NA
2007-06-30,17,NA,NA,11,7,NA,NA,Environics,NA,28,NA,NA
2007-06-18,19,NA,NA,8,10,NA,NA,Angus Reid Strategies,NA,27,NA,NA
2007-06-11,18,NA,NA,9,9,NA,NA,Decima,NA,32,NA,NA
2007-05-31,16,NA,NA,9,10,NA,NA,Ipsos Reid,NA,31,NA,NA
2007-05-27,14,NA,NA,9,8,NA,NA,Léger Marketing,NA,30,NA,NA
2007-05-24,16,NA,NA,9,7,NA,NA,Ipsos Reid,NA,31,NA,NA
2007-05-23,18,NA,NA,9,9,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2007-05-20,17,NA,NA,10,8,NA,NA,Decima,NA,31,NA,NA
2007-05-17,16,NA,NA,9,10,NA,NA,Strategic Counsel,NA,31,NA,NA
2007-05-17,14,NA,NA,7,9,NA,NA,Ipsos Reid,NA,32,NA,NA
2007-05-10,17,NA,NA,9,9,NA,NA,Ipsos Reid,NA,32,NA,NA
2007-05-03,17,NA,NA,10,9,NA,NA,SES Research,NA,33,NA,NA
2007-05-03,14,NA,NA,7,9,NA,NA,Ipsos Reid,NA,34,NA,NA
2007-04-29,15,NA,NA,13,9,NA,NA,Decima,NA,31,NA,NA
2007-04-26,14,NA,NA,8,8,NA,NA,Ipsos Reid,NA,31,NA,NA
2007-04-24,13,NA,NA,12,9,NA,NA,Strategic Counsel,NA,30,NA,NA
2007-04-21,18,NA,NA,11,8,NA,NA,Decima Research,NA,29,NA,NA
2007-04-19,16,NA,NA,7,9,NA,NA,Ipsos Reid,NA,29,NA,NA
2007-04-15,15,NA,NA,11,7,NA,NA,Decima Research,NA,31,NA,NA
2007-04-12,14,NA,NA,8,8,NA,NA,Ipsos Reid,NA,32,NA,NA
2007-04-05,16,NA,NA,6,10,NA,NA,SES Research,NA,33,NA,NA
2007-04-05,13,NA,NA,8,8,NA,NA,Decima Research,NA,30,NA,NA
2007-04-03,16,NA,NA,12,8,NA,NA,Environics,NA,28,NA,NA
2007-03-28,15,NA,NA,9,8,NA,NA,Ipsos Reid,NA,31,NA,NA
2007-03-28,17,NA,NA,11,10,NA,NA,Angus Reid Strategies,NA,22,NA,NA
2007-03-25,13,NA,NA,10,8,NA,NA,Decima Research,NA,31,NA,NA
2007-03-25,14,NA,NA,6,9,NA,NA,Léger Marketing,NA,27,NA,NA
2007-03-22,14,NA,NA,7,9,NA,NA,Ipsos-Reid,NA,29,NA,NA
2007-03-21,13,NA,NA,9,8,NA,NA,Strategic Counsel,NA,31,NA,NA
2007-03-15,12,NA,NA,8,9,NA,NA,Ipsos-Reid,NA,34,NA,NA
2007-03-13,15,NA,NA,10,9,NA,NA,Strategic Counsel,NA,31,NA,NA
2007-03-07,15,NA,NA,8,10,NA,NA,Angus Reid Strategies,NA,28,NA,NA
2007-03-04,15,NA,NA,11,7,NA,NA,Decima Research,NA,29,NA,NA
2007-03-03,15,NA,NA,8,8,NA,NA,Ipsos-Reid,NA,32,NA,NA
2007-02-27,15,NA,NA,8,10,NA,NA,Angus Reid Strategies,NA,26,NA,NA
2007-02-26,13,NA,NA,13,8,NA,NA,Decima Research,NA,27,NA,NA
2007-02-24,13,NA,NA,8,9,NA,NA,Ipsos-Reid,NA,34,NA,NA
2007-02-18,15,NA,NA,11,9,NA,NA,Decima Research,NA,30,NA,NA
2007-02-18,14,NA,NA,12,11,NA,NA,Strategic Counsel,NA,29,NA,NA
2007-02-12,15,NA,NA,8,9,NA,NA,Decima Research,NA,33,NA,NA
2007-02-08,17,NA,NA,7,10,NA,NA,SES Research,NA,33,NA,NA
2007-02-04,14,NA,NA,7,8,NA,NA,Léger Marketing,NA,31,NA,NA
2007-01-22,13,NA,NA,9,13,NA,NA,Decima Research,NA,33,NA,NA
2007-01-21,13,NA,NA,9,8,NA,NA,Léger Marketing,NA,32,NA,NA
2007-01-18,13,NA,NA,NA,NA,NA,NA,Ipsos-Reid,NA,37,NA,NA
2007-01-15,13,NA,NA,9,10,NA,NA,Decima Research,NA,33,NA,NA
2007-01-14,15,NA,NA,8,11,NA,NA,Strategic Counsel,NA,35,NA,NA
2006-12-30,14,NA,NA,11,8,NA,NA,Environics,NA,32,NA,NA
2006-12-30,15,NA,NA,8,10,NA,NA,Decima Research,NA,31,NA,NA
2006-12-14,13,NA,NA,5,10,NA,NA,Ipsos-Reid,NA,36,NA,NA
2006-12-13,12,NA,NA,7,11,NA,NA,Decima Research,NA,35,NA,NA
2006-12-09,10,NA,NA,8,9,NA,NA,EKOS,NA,40,NA,NA
2006-12-07,13,NA,NA,5,11,NA,NA,Ipsos-Reid,NA,38,NA,NA
2006-12-03,12,NA,NA,11,10,NA,NA,Decima Research,NA,35,NA,NA
2006-12-03,14,NA,NA,7,11,NA,NA,Strategic Counsel,NA,37,NA,NA
2006-11-26,15,NA,NA,6,10,NA,NA,Léger Marketing,NA,32,NA,NA
2006-11-13,15,NA,NA,10,10,NA,NA,Decima Research,NA,33,NA,NA
2006-11-09,16,NA,NA,5,13,NA,NA,SES Research,NA,32,NA,NA
2006-11-06,19,NA,NA,5,9,NA,NA,Environics,NA,32,NA,NA
2006-11-05,18,NA,NA,9,10,NA,NA,Decima Research,NA,28,NA,NA
2006-11-02,19,NA,NA,5,9,NA,NA,Ipsos-Reid,NA,29,NA,NA
2006-10-16,15,NA,NA,10,11,NA,NA,Decima Research,NA,30,NA,NA
2006-10-15,17,NA,NA,9,11,NA,NA,Strategic Counsel,NA,32,NA,NA
2006-10-12,16.2,NA,NA,6.2,9.9,NA,NA,EKOS,NA,31.7,NA,NA
2006-10-12,18,NA,NA,7,9,NA,NA,Environics,NA,28,NA,NA
2006-09-17,19,NA,NA,8,12,NA,NA,Strategic Counsel,NA,26,NA,NA
2006-09-14,17,NA,NA,7,8.4,NA,NA,EKOS,NA,28.8,NA,NA
2006-09-04,14,NA,NA,10,11,NA,NA,Decima Research,NA,30,NA,NA
2006-08-28,19,NA,NA,8,10,NA,NA,Decima Research,NA,28,NA,NA
2006-08-24,17,NA,NA,5,10,NA,NA,Ipsos-Reid,NA,29,NA,NA
2006-08-23,18,NA,NA,5,11,NA,NA,SES Research,NA,30,NA,NA
2006-08-13,15,NA,NA,7,10,NA,NA,Decima Research,NA,29,NA,NA
2006-07-31,16,NA,NA,8,11,NA,NA,Decima Research,NA,31,NA,NA
