institute,lpc,ca,bq,ndp,pc,date,cpc,gpc,sample_size,polling_method,other,ppc
Nanos Research,30,NA,7,18,NA,2008-09-17,39,6,NA,NA,NA,NA
Harris-Decima,27,NA,8,16,NA,2008-09-17,36,11,NA,NA,NA,NA
EKOS Research Associates,24,NA,8,18,NA,2008-09-17,38,12,NA,NA,NA,NA
Nanos Research,31,NA,7,17,NA,2008-09-16,38,7,NA,NA,NA,NA
Harris-Decima,28,NA,8,15,NA,2008-09-16,38,10,NA,NA,NA,NA
EKOS Research Associates,24,NA,8,19,NA,2008-09-16,38,11,NA,NA,NA,NA
Nanos Research,31,NA,6,17,NA,2008-09-15,38,8,NA,NA,NA,NA
Harris-Decima,27,NA,8,16,NA,2008-09-15,38,10,NA,NA,NA,NA
EKOS Research Associates,23,NA,9,19,NA,2008-09-15,38,11,NA,NA,NA,NA
Segma,23,NA,7,16,NA,2008-09-15,42,10,NA,NA,NA,NA
Nanos Research,31,NA,6,18,NA,2008-09-14,37,9,NA,NA,NA,NA
Harris-Decima,27,NA,8,16,NA,2008-09-14,38,9,NA,NA,NA,NA
EKOS Research Associates,25,NA,9,19,NA,2008-09-14,35,11,NA,NA,NA,NA
Ipsos Reid,29,NA,8,13,NA,2008-09-13,38,11,NA,NA,NA,NA
Harris-Decima,26,NA,8,15,NA,2008-09-13,40,9,NA,NA,NA,NA
Nanos Research,30,NA,6,17,NA,2008-09-13,38,9,NA,NA,NA,NA
Angus Reid Strategies,23,NA,9,18,NA,2008-09-12,39,10,NA,NA,NA,NA
Nanos Research,30,NA,9,15,NA,2008-09-12,38,9,NA,NA,NA,NA
EKOS Research Associates,26,NA,8,19,NA,2008-09-11,36,11,NA,NA,NA,NA
Ipsos Reid,29,NA,8,13,NA,2008-09-11,38,11,NA,NA,NA,NA
Nanos Research,31,NA,9,14,NA,2008-09-11,38,9,NA,NA,NA,NA
Harris-Decima,26,NA,8,14,NA,2008-09-11,41,9,NA,NA,NA,NA
Nanos Research,32,NA,9,13,NA,2008-09-10,37,9,NA,NA,NA,NA
EKOS Research Associates,26,NA,8,19,NA,2008-09-09,37,10,NA,NA,NA,NA
Angus Reid Strategies,24,NA,9,21,NA,2008-09-09,38,7,NA,NA,NA,NA
Harris-Decima,28,NA,9,15,NA,2008-09-08,36,9,NA,NA,NA,NA
Segma,25,NA,8,15,NA,2008-09-06,43,7,NA,NA,NA,NA
EKOS Research Associates,26,NA,10,15,NA,2008-09-04,38,11,NA,NA,NA,NA
EKOS Research Associates,24,NA,6,19,NA,2008-09-03,37,10,NA,NA,NA,NA
Environics,28,NA,8,19,NA,2008-09-02,38,7,NA,NA,NA,NA
Strategic Counsel,29,NA,8,17,NA,2008-08-31,37,9,NA,NA,NA,NA
Ipsos Reid,31,NA,NA,14,NA,2008-08-28,34,10,NA,NA,NA,NA
Angus Reid Strategies,28,NA,9,18,NA,2008-08-28,36,8,NA,NA,NA,NA
Ipsos Reid,31,NA,9,16,NA,2008-08-28,33,10,NA,NA,NA,NA
Nanos Research,35,NA,8,17,NA,2008-08-27,33,7,NA,NA,NA,NA
Harris-Decima,34,NA,7,15,NA,2008-08-24,33,9,NA,NA,NA,NA
Ipsos Reid,30,NA,9,14,NA,2008-08-14,36,10,NA,NA,NA,NA
Harris-Decima,33,NA,6,15,NA,2008-08-10,32,13,NA,NA,NA,NA
Ipsos Reid,30,NA,9,14,NA,2008-07-31,34,11,NA,NA,NA,NA
Angus Reid Strategies,30,NA,9,17,NA,2008-07-30,35,8,NA,NA,NA,NA
Ipsos Reid,32,NA,11,13,NA,2008-07-10,33,10,NA,NA,NA,NA
Environics,30,NA,10,17,NA,2008-07-05,35,8,NA,NA,NA,NA
Harris-Decima,31,NA,10,16,NA,2008-06-29,30,12,NA,NA,NA,NA
Angus Reid Strategies,30,NA,9,19,NA,2008-06-24,33,7,NA,NA,NA,NA
Strategic Counsel,30,NA,10,18,NA,2008-06-09,32,10,NA,NA,NA,NA
Harris-Decima,31,NA,6,15,NA,2008-06-08,32,12,NA,NA,NA,NA
Ipsos-Reid,29,NA,9,14,NA,2008-05-29,36,11,NA,NA,NA,NA
Angus Reid Strategies,27,NA,11,18,NA,2008-05-19,34,8,NA,NA,NA,NA
Nanos Research,34,NA,11,15,NA,2008-05-11,33,8,NA,NA,NA,NA
Strategic Counsel,31,NA,9,16,NA,2008-05-11,34,10,NA,NA,NA,NA
Ipsos-Reid,32,NA,NA,14,NA,2008-05-08,35,9,NA,NA,NA,NA
Ipsos-Reid,29,NA,NA,17,NA,2008-05-01,34,11,NA,NA,NA,NA
Angus Reid Strategies,30,NA,8,20,NA,2008-04-23,33,8,NA,NA,NA,NA
Harris-Decima,33,NA,NA,14,NA,2008-04-21,32,NA,NA,NA,NA,NA
Harris-Decima,33,NA,9,16,NA,2008-04-13,30,11,NA,NA,NA,NA
Strategic Counsel,30,NA,8,15,NA,2008-04-13,36,10,NA,NA,NA,NA
Ipsos-Reid,30,NA,NA,16,NA,2008-04-10,35,10,NA,NA,NA,NA
Segma,30,NA,9,15,NA,2008-04-09,36,9,NA,NA,NA,NA
Nanos Research,36,NA,8,14,NA,2008-04-09,36,6,NA,NA,NA,NA
Environics,28,NA,13,17,NA,2008-04-07,35,7,NA,NA,NA,NA
Harris-Decima,32,NA,9,15,NA,2008-04-06,31,12,NA,NA,NA,NA
Harris-Decima,30,NA,9,13,NA,2008-03-30,32,12,NA,NA,NA,NA
Angus Reid Strategies,26,NA,9,18,NA,2008-03-28,36,9,NA,NA,NA,NA
Ipsos-Reid,33,NA,10,13,NA,2008-03-20,35,8,NA,NA,NA,NA
Harris-Decima,32,NA,9,17,NA,2008-03-16,32,8,NA,NA,NA,NA
Strategic Counsel,27,NA,10,14,NA,2008-03-16,38,12,NA,NA,NA,NA
Ipsos-Reid,31,NA,9,15,NA,2008-03-06,35,9,NA,NA,NA,NA
Harris-Decima,30,NA,8,17,NA,2008-03-02,31,13,NA,NA,NA,NA
Angus Reid Strategies,28,NA,10,18,NA,2008-03-02,34,9,NA,NA,NA,NA
Nanos Research,34,NA,10,14,NA,2008-02-20,34,8,NA,NA,NA,NA
Angus Reid Strategies,31,NA,9,17,NA,2008-02-18,34,8,NA,NA,NA,NA
Harris-Decima,33,NA,8,13,NA,2008-02-17,35,9,NA,NA,NA,NA
Strategic Counsel,27,NA,10,12,NA,2008-02-17,39,12,NA,NA,NA,NA
Ipsos-Reid,29,NA,9,13,NA,2008-02-14,36,10,NA,NA,NA,NA
Léger Marketing,32,NA,8,16,NA,2008-02-10,37,7,NA,NA,NA,NA
Nanos Research,33,NA,10,19,NA,2008-02-04,31,8,NA,NA,NA,NA
UniMarketing,33,NA,8,18,NA,2008-01-31,33,8,NA,NA,NA,NA
Harris-Decima,32,NA,9,16,NA,2008-01-27,29,12,NA,NA,NA,NA
Ipsos-Reid,29,NA,NA,14,NA,2008-01-24,37,10,NA,NA,NA,NA
Strategic Counsel,30,NA,11,14,NA,2008-01-13,36,10,NA,NA,NA,NA
Ipsos-Reid,35,NA,9,13,NA,2008-01-10,33,9,NA,NA,NA,NA
Harris-Decima,30,NA,10,13,NA,2008-01-06,37,9,NA,NA,NA,NA
Environics,22,NA,13,17,NA,2008-01-03,36,7,NA,NA,NA,NA
Ipsos-Reid,33,NA,8,15,NA,2007-12-20,35,8,NA,NA,NA,NA
Harris-Decima,32,NA,11,15,NA,2007-12-17,30,12,NA,NA,NA,NA
Angus Reid Strategies,28,NA,10,17,NA,2007-12-14,33,10,NA,NA,NA,NA
Strategic Counsel,29,NA,10,16,NA,2007-12-09,32,13,NA,NA,NA,NA
Ipsos-Reid,29,NA,10,16,NA,2007-12-06,35,9,NA,NA,NA,NA
Harris-Decima,28,NA,8,17,NA,2007-12-02,36,11,NA,NA,NA,NA
Ipsos-Reid,29,NA,8,15,NA,2007-11-22,39,8,NA,NA,NA,NA
Harris-Decima,28,NA,8,17,NA,2007-11-19,36,9,NA,NA,NA,NA
Strategic Counsel,31,NA,11,16,NA,2007-11-13,34,8,NA,NA,NA,NA
Harris-Decima,29,NA,8,17,NA,2007-11-12,33,12,NA,NA,NA,NA
Strategic Counsel,32,NA,11,12,NA,2007-11-11,32,13,NA,NA,NA,NA
SES Research,34,NA,9,17,NA,2007-11-08,35,6,NA,NA,NA,NA
Ipsos-Reid,28,NA,8,15,NA,2007-11-08,42,7,NA,NA,NA,NA
Ipsos-Reid,28,NA,12,13,NA,2007-11-01,39,7,NA,NA,NA,NA
Harris-Decima,29,NA,9,17,NA,2007-10-29,33,10,NA,NA,NA,NA
Ipsos-Reid,27,NA,9,17,NA,2007-10-25,39,8,NA,NA,NA,NA
Unimarketing,25,NA,10,19,NA,2007-10-18,36,9,NA,NA,NA,NA
Ipsos-Reid,27,NA,9,14,NA,2007-10-18,40,8,NA,NA,NA,NA
Angus Reid Strategies,29,NA,9,17,NA,2007-10-17,34,9,NA,NA,NA,NA
Environics,29,NA,7,19,NA,2007-10-14,33,11,NA,NA,NA,NA
Strategic Counsel,29,NA,10,15,NA,2007-10-14,34,12,NA,NA,NA,NA
Ipsos-Reid,28,NA,8,16,NA,2007-10-13,40,7,NA,NA,NA,NA
Harris-Decima,28,NA,8,17,NA,2007-10-09,35,10,NA,NA,NA,NA
Harris-Decima,31,NA,7,16,NA,2007-10-03,33,10,NA,NA,NA,NA
Harris-Decima,29,NA,5,17,NA,2007-09-18,32,14,NA,NA,NA,NA
Angus Reid Strategies,29,NA,9,19,NA,2007-08-23,33,9,NA,NA,NA,NA
SES Research,33,NA,10,13,NA,2007-08-14,36,8,NA,NA,NA,NA
Strategic Counsel,33,NA,10,17,NA,2007-08-12,33,8,NA,NA,NA,NA
Ipsos-Reid,32,NA,8,17,NA,2007-07-27,34,8,NA,NA,NA,NA
Angus Reid Strategies,28,NA,9,19,NA,2007-07-18,33,8,NA,NA,NA,NA
Strategic Counsel,31,NA,10,17,NA,2007-07-15,31,10,NA,NA,NA,NA
Environics,28,NA,7,17,NA,2007-06-30,37,11,NA,NA,NA,NA
Angus Reid Strategies,27,NA,10,19,NA,2007-06-18,34,8,NA,NA,NA,NA
Decima,32,NA,9,18,NA,2007-06-11,29,9,NA,NA,NA,NA
Ipsos Reid,31,NA,10,16,NA,2007-05-31,34,9,NA,NA,NA,NA
Léger Marketing,30,NA,8,14,NA,2007-05-27,37,9,NA,NA,NA,NA
Ipsos Reid,31,NA,7,16,NA,2007-05-24,37,9,NA,NA,NA,NA
Angus Reid Strategies,28,NA,9,18,NA,2007-05-23,35,9,NA,NA,NA,NA
Decima,31,NA,8,17,NA,2007-05-20,33,10,NA,NA,NA,NA
Strategic Counsel,31,NA,10,16,NA,2007-05-17,34,9,NA,NA,NA,NA
Ipsos Reid,32,NA,9,14,NA,2007-05-17,36,7,NA,NA,NA,NA
Ipsos Reid,32,NA,9,17,NA,2007-05-10,31,9,NA,NA,NA,NA
SES Research,33,NA,9,17,NA,2007-05-03,32,10,NA,NA,NA,NA
Ipsos Reid,34,NA,9,14,NA,2007-05-03,35,7,NA,NA,NA,NA
Decima,31,NA,9,15,NA,2007-04-29,30,13,NA,NA,NA,NA
Ipsos Reid,31,NA,8,14,NA,2007-04-26,38,8,NA,NA,NA,NA
Strategic Counsel,30,NA,9,13,NA,2007-04-24,36,12,NA,NA,NA,NA
Decima Research,29,NA,8,18,NA,2007-04-21,30,11,NA,NA,NA,NA
Ipsos Reid,29,NA,9,16,NA,2007-04-19,39,7,NA,NA,NA,NA
Decima Research,31,NA,7,15,NA,2007-04-15,34,11,NA,NA,NA,NA
Ipsos Reid,32,NA,8,14,NA,2007-04-12,38,8,NA,NA,NA,NA
SES Research,33,NA,10,16,NA,2007-04-05,36,6,NA,NA,NA,NA
Decima Research,30,NA,8,13,NA,2007-04-05,39,8,NA,NA,NA,NA
Environics,28,NA,8,16,NA,2007-04-03,36,12,NA,NA,NA,NA
Ipsos Reid,31,NA,8,15,NA,2007-03-28,36,9,NA,NA,NA,NA
Angus Reid Strategies,22,NA,10,17,NA,2007-03-28,39,11,NA,NA,NA,NA
Decima Research,31,NA,8,13,NA,2007-03-25,35,10,NA,NA,NA,NA
Léger Marketing,27,NA,9,14,NA,2007-03-25,41,6,NA,NA,NA,NA
Ipsos-Reid,29,NA,9,14,NA,2007-03-22,40,7,NA,NA,NA,NA
Strategic Counsel,31,NA,8,13,NA,2007-03-21,39,9,NA,NA,NA,NA
Ipsos-Reid,34,NA,9,12,NA,2007-03-15,36,8,NA,NA,NA,NA
Strategic Counsel,31,NA,9,15,NA,2007-03-13,36,10,NA,NA,NA,NA
Angus Reid Strategies,28,NA,10,15,NA,2007-03-07,38,8,NA,NA,NA,NA
Decima Research,29,NA,7,15,NA,2007-03-04,35,11,NA,NA,NA,NA
Ipsos-Reid,32,NA,8,15,NA,2007-03-03,36,8,NA,NA,NA,NA
Angus Reid Strategies,26,NA,10,15,NA,2007-02-27,40,8,NA,NA,NA,NA
Decima Research,27,NA,8,13,NA,2007-02-26,36,13,NA,NA,NA,NA
Ipsos-Reid,34,NA,9,13,NA,2007-02-24,36,8,NA,NA,NA,NA
Decima Research,30,NA,9,15,NA,2007-02-18,32,11,NA,NA,NA,NA
Strategic Counsel,29,NA,11,14,NA,2007-02-18,34,12,NA,NA,NA,NA
Decima Research,33,NA,9,15,NA,2007-02-12,32,8,NA,NA,NA,NA
SES Research,33,NA,10,17,NA,2007-02-08,33,7,NA,NA,NA,NA
Léger Marketing,31,NA,8,14,NA,2007-02-04,38,7,NA,NA,NA,NA
Decima Research,33,NA,13,13,NA,2007-01-22,32,9,NA,NA,NA,NA
Léger Marketing,32,NA,8,13,NA,2007-01-21,35,9,NA,NA,NA,NA
Ipsos-Reid,37,NA,NA,13,NA,2007-01-18,33,NA,NA,NA,NA,NA
Decima Research,33,NA,10,13,NA,2007-01-15,32,9,NA,NA,NA,NA
Strategic Counsel,35,NA,11,15,NA,2007-01-14,31,8,NA,NA,NA,NA
Environics,32,NA,8,14,NA,2006-12-30,34,11,NA,NA,NA,NA
Decima Research,31,NA,10,15,NA,2006-12-30,34,8,NA,NA,NA,NA
Ipsos-Reid,36,NA,10,13,NA,2006-12-14,34,5,NA,NA,NA,NA
Decima Research,35,NA,11,12,NA,2006-12-13,32,7,NA,NA,NA,NA
EKOS,40,NA,9,10,NA,2006-12-09,33,8,NA,NA,NA,NA
Ipsos-Reid,38,NA,11,13,NA,2006-12-07,32,5,NA,NA,NA,NA
Decima Research,35,NA,10,12,NA,2006-12-03,31,11,NA,NA,NA,NA
Strategic Counsel,37,NA,11,14,NA,2006-12-03,31,7,NA,NA,NA,NA
Léger Marketing,32,NA,10,15,NA,2006-11-26,34,6,NA,NA,NA,NA
Decima Research,33,NA,10,15,NA,2006-11-13,31,10,NA,NA,NA,NA
SES Research,32,NA,13,16,NA,2006-11-09,34,5,NA,NA,NA,NA
Environics,32,NA,9,19,NA,2006-11-06,33,5,NA,NA,NA,NA
Decima Research,28,NA,10,18,NA,2006-11-05,31,9,NA,NA,NA,NA
Ipsos-Reid,29,NA,9,19,NA,2006-11-02,37,5,NA,NA,NA,NA
Decima Research,30,NA,11,15,NA,2006-10-16,32,10,NA,NA,NA,NA
Strategic Counsel,32,NA,11,17,NA,2006-10-15,32,9,NA,NA,NA,NA
EKOS,31.7,NA,9.9,16.2,NA,2006-10-12,36,6.2,NA,NA,NA,NA
Environics,28,NA,9,18,NA,2006-10-12,37,7,NA,NA,NA,NA
Strategic Counsel,26,NA,12,19,NA,2006-09-17,35,8,NA,NA,NA,NA
EKOS,28.8,NA,8.4,17,NA,2006-09-14,38.7,7,NA,NA,NA,NA
Decima Research,30,NA,11,14,NA,2006-09-04,34,10,NA,NA,NA,NA
Decima Research,28,NA,10,19,NA,2006-08-28,33,8,NA,NA,NA,NA
Ipsos-Reid,29,NA,10,17,NA,2006-08-24,38,5,NA,NA,NA,NA
SES Research,30,NA,11,18,NA,2006-08-23,36,5,NA,NA,NA,NA
Decima Research,29,NA,10,15,NA,2006-08-13,36,7,NA,NA,NA,NA
Decima Research,31,NA,11,16,NA,2006-07-31,32,8,NA,NA,NA,NA
Strategic Counsel,29,NA,11,15,NA,2006-07-30,38,8,NA,NA,NA,NA
Ipsos-Reid,27,NA,10,17,NA,2006-07-27,39,7,NA,NA,NA,NA
Decima Research,30,NA,NA,17,NA,2006-07-23,36,NA,NA,NA,NA,NA
Decima Research,29,NA,10,16,NA,2006-07-16,36,8,NA,NA,NA,NA
Strategic Counsel,26,NA,11,18,NA,2006-07-16,37,8,NA,NA,NA,NA
Environics,25,NA,9,21,NA,2006-06-23,39,4,NA,NA,NA,NA
Decima Research,28,NA,10,19,NA,2006-06-18,38,NA,NA,NA,NA,NA
Strategic Counsel,27,NA,9,19,NA,2006-06-08,36,9,NA,NA,NA,NA
Decima Research,29,NA,8,21,NA,2006-05-28,38,NA,NA,NA,NA,NA
Ipsos-Reid,25,NA,9,15,NA,2006-05-18,43,5,NA,NA,NA,NA
SES Research,28,NA,9,19,NA,2006-05-09,38,6,NA,NA,NA,NA
Strategic Counsel,31,NA,10,16,NA,2006-05-03,35,9,NA,NA,NA,NA
Decima Research,26,NA,10,19,NA,2006-04-23,41,NA,NA,NA,NA,NA
Strategic Counsel,29,NA,11,14,NA,2006-04-09,39,5,NA,NA,NA,NA
Environics,22,NA,10,21,NA,2006-03-31,41,5,NA,NA,NA,NA
Decima Research,28,NA,11,19,NA,2006-03-26,39,NA,NA,NA,NA,NA
Ipsos-Reid,28,NA,9,19,NA,2006-03-23,38,5,NA,NA,NA,NA
Decima Research,28,NA,10,19,NA,2006-03-13,37,NA,NA,NA,NA,NA
Decima Research,28,NA,10,21,NA,2006-02-27,35,NA,NA,NA,NA,NA
Ipsos-Reid,27,NA,8,20,NA,2006-02-23,39,5,NA,NA,NA,NA
Strategic Counsel,28,NA,8,19,NA,2006-02-21,39,NA,NA,NA,NA,NA
Decima Research,25,NA,8,24,NA,2006-02-13,35,NA,NA,NA,NA,NA
SES Research,34,NA,9,18,NA,2006-02-09,33,7,NA,NA,NA,NA
Angus Reid Public Opinion,25,NA,10,19,NA,2011-03-24,39,7,NA,NA,NA,NA
Leger Marketing,23,NA,9,19,NA,2011-03-24,39,7,NA,NA,NA,NA
EKOS Research Associates,28.1,NA,9.7,14.2,NA,2011-03-24,35.3,10.6,NA,NA,NA,NA
Ipsos Reid,24,NA,10,16,NA,2011-03-23,43,6,NA,NA,NA,NA
Harris-Decima,28,NA,10,17,NA,2011-03-20,34,9,NA,NA,NA,NA
EKOS Research Associates,25.7,NA,10.2,16.4,NA,2011-03-16,34.1,10.4,NA,NA,NA,NA
Nanos Research,27.6,NA,10.1,19.9,NA,2011-03-15,38.6,3.8,NA,NA,NA,NA
Leger Marketing,23,NA,10,18,NA,2011-03-10,36,10,NA,NA,NA,NA
Ipsos Reid,27,NA,11,16,NA,2011-03-09,40,5,NA,NA,NA,NA
Angus Reid Public Opinion,23,NA,9,17,NA,2011-03-09,39,9,NA,NA,NA,NA
EKOS Research Associates,27.8,NA,8.8,14.9,NA,2011-03-08,35.2,10.1,NA,NA,NA,NA
Harris-Decima,28,NA,9,15,NA,2011-02-27,36,9,NA,NA,NA,NA
Ipsos Reid,27,NA,10,13,NA,2011-02-27,43,5,NA,NA,NA,NA
Abacus Data,23,NA,11,19,NA,2011-02-23,38,8,NA,NA,NA,NA
EKOS Research Associates,27.3,NA,10.5,14.8,NA,2011-02-22,32.4,11.9,NA,NA,NA,NA
Angus Reid Public Opinion,26,NA,9,18,NA,2011-02-18,39,6,NA,NA,NA,NA
Nanos Research,26.6,NA,9.9,18.9,NA,2011-02-14,39.7,4.9,NA,NA,NA,NA
Harris-Decima,27,NA,10,14,NA,2011-02-13,37,10,NA,NA,NA,NA
Ipsos Reid,25,NA,9,18,NA,2011-02-10,39,10,NA,NA,NA,NA
EKOS Research Associates,24.8,NA,9.9,14.2,NA,2011-02-09,37.3,10.7,NA,NA,NA,NA
Ipsos Reid,29,NA,11,16,NA,2011-02-02,34,10,NA,NA,NA,NA
EKOS Research Associates,27.9,NA,9.7,14.8,NA,2011-01-26,35.4,9.8,NA,NA,NA,NA
Abacus Data,27,NA,10,18,NA,2011-01-24,35,9,NA,NA,NA,NA
Pollara,28,NA,10,19,NA,2011-01-24,35,8,NA,NA,NA,NA
Harris-Decima,28,NA,9,15,NA,2011-01-16,36,9,NA,NA,NA,NA
EKOS Research Associates,27.3,NA,9.8,14.8,NA,2011-01-12,34.5,10.3,NA,NA,NA,NA
Angus Reid Public Opinion,28,NA,11,17,NA,2011-01-09,34,8,NA,NA,NA,NA
EKOS Research Associates,26.5,NA,10.6,17.1,NA,2010-12-15,32,10.9,NA,NA,NA,NA
Harris-Decima,29,NA,9,15,NA,2010-12-13,31,11,NA,NA,NA,NA
Ipsos Reid,29,NA,10,12,NA,2010-12-09,39,9,NA,NA,NA,NA
Angus Reid Public Opinion,26,NA,10,18,NA,2010-12-07,38,7,NA,NA,NA,NA
EKOS Research Associates,29.2,NA,9.8,14.4,NA,2010-12-07,33.7,10.4,NA,NA,NA,NA
Abacus Data,24,NA,10,20,NA,2010-12-06,35,10,NA,NA,NA,NA
Nanos Research,31.2,NA,10.2,17.2,NA,2010-12-05,38.1,3.2,NA,NA,NA,NA
EKOS Research Associates,27.4,NA,9.9,15.8,NA,2010-11-30,32.6,10.9,NA,NA,NA,NA
EKOS Research Associates,27.1,NA,9.5,16.6,NA,2010-11-23,33.3,9.5,NA,NA,NA,NA
EKOS Research Associates,28.7,NA,9.9,16.3,NA,2010-11-16,32.4,9.8,NA,NA,NA,NA
EKOS Research Associates,28.6,NA,9.3,19.3,NA,2010-11-09,29.4,10.7,NA,NA,NA,NA
Nanos Research,31.6,NA,10.8,15.4,NA,2010-11-05,37.1,5.2,NA,NA,NA,NA
Ipsos Reid,29,NA,8,16,NA,2010-11-04,35,11,NA,NA,NA,NA
Abacus Data,25,NA,10,21,NA,2010-11-01,33,10,NA,NA,NA,NA
Harris-Decima,28,NA,9,17,NA,2010-10-31,33,10,NA,NA,NA,NA
Angus Reid Public Opinion,26,NA,10,19,NA,2010-10-26,37,6,NA,NA,NA,NA
EKOS Research Associates,27.8,NA,9.3,15.1,NA,2010-10-26,33.9,11.6,NA,NA,NA,NA
EKOS Research Associates,29.4,NA,11.2,13.9,NA,2010-10-19,30.9,11.6,NA,NA,NA,NA
Harris-Decima,30,NA,10,14,NA,2010-10-17,32,10,NA,NA,NA,NA
EKOS Research Associates,27.8,NA,9.3,15.8,NA,2010-10-12,34.4,10.4,NA,NA,NA,NA
Nanos Research,32.4,NA,9.8,16.3,NA,2010-10-06,36.6,4.9,NA,NA,NA,NA
EKOS Research Associates,27.6,NA,9.7,16.5,NA,2010-10-05,31.8,11.2,NA,NA,NA,NA
Angus Reid Public Opinion,26,NA,10,18,NA,2010-09-28,34,11,NA,NA,NA,NA
EKOS Research Associates,29.9,NA,10.1,13.5,NA,2010-09-28,33.1,10.9,NA,NA,NA,NA
Ipsos Reid,29,NA,11,12,NA,2010-09-23,35,12,NA,NA,NA,NA
EKOS Research Associates,29.3,NA,9.7,14.6,NA,2010-09-21,31.7,11.8,NA,NA,NA,NA
Harris-Decima,30,NA,10,14,NA,2010-09-19,33,11,NA,NA,NA,NA
EKOS Research Associates,28.9,NA,8.9,16.6,NA,2010-09-14,32.4,10.7,NA,NA,NA,NA
Ipsos Reid,31,NA,10,16,NA,2010-09-12,34,9,NA,NA,NA,NA
Environics,31,NA,9,16,NA,2010-09-10,35,7,NA,NA,NA,NA
EKOS Research Associates,28.5,NA,9.5,15.2,NA,2010-09-07,32.1,12.5,NA,NA,NA,NA
Nanos Research,32.8,NA,12.1,15.6,NA,2010-09-03,33.3,6.2,NA,NA,NA,NA
EKOS Research Associates,29.1,NA,10.9,15.7,NA,2010-08-31,29.4,13,NA,NA,NA,NA
EKOS Research Associates,27.6,NA,11.2,16.9,NA,2010-08-24,31.1,10.7,NA,NA,NA,NA
Harris-Decima,30,NA,9,16,NA,2010-08-22,33,10,NA,NA,NA,NA
EKOS Research Associates,27.9,NA,9.2,17.4,NA,2010-08-17,32.5,10.3,NA,NA,NA,NA
Angus Reid Public Opinion,29,NA,10,19,NA,2010-08-11,33,9,NA,NA,NA,NA
EKOS Research Associates,27.7,NA,9.5,15.4,NA,2010-08-10,32.2,12.3,NA,NA,NA,NA
Ipsos Reid,31,NA,9,15,NA,2010-08-09,34,9,NA,NA,NA,NA
Harris-Decima,28,NA,9,15,NA,2010-08-09,34,12,NA,NA,NA,NA
Leger Marketing,28,NA,9,16,NA,2010-08-04,37,8,NA,NA,NA,NA
EKOS Research Associates,28.5,NA,10.4,17.4,NA,2010-08-03,29.7,11.1,NA,NA,NA,NA
EKOS Research Associates,25.2,NA,10.1,17.4,NA,2010-07-27,33.2,11.1,NA,NA,NA,NA
Harris-Decima,26,NA,10,18,NA,2010-07-25,31,12,NA,NA,NA,NA
EKOS Research Associates,25.5,NA,10,18.4,NA,2010-07-20,32.4,10.1,NA,NA,NA,NA
EKOS Research Associates,27.5,NA,10.1,14.7,NA,2010-07-13,31.6,13.3,NA,NA,NA,NA
Angus Reid Public Opinion,27,NA,10,20,NA,2010-07-08,36,7,NA,NA,NA,NA
Ipsos Reid,29,NA,11,15,NA,2010-07-08,35,10,NA,NA,NA,NA
Environics,32,NA,9,15,NA,2010-07-08,35,6,NA,NA,NA,NA
EKOS Research Associates,25.8,NA,9.7,17.5,NA,2010-07-06,32.1,12.2,NA,NA,NA,NA
EKOS Research Associates,27.7,NA,9.3,16.5,NA,2010-06-21,31,13,NA,NA,NA,NA
Harris-Decima,27,NA,11,17,NA,2010-06-20,34,10,NA,NA,NA,NA
EKOS Research Associates,26.3,NA,10.5,17.4,NA,2010-06-15,30.5,12.3,NA,NA,NA,NA
Ipsos Reid,27,NA,10,16,NA,2010-06-10,35,11,NA,NA,NA,NA
EKOS Research Associates,26.8,NA,8.9,16.6,NA,2010-06-08,31.4,12.6,NA,NA,NA,NA
Nanos Research,29.2,NA,9.4,20.7,NA,2010-06-03,35.6,5.1,NA,NA,NA,NA
EKOS Research Associates,26.2,NA,10.3,17.4,NA,2010-06-01,31.7,11.5,NA,NA,NA,NA
Leger Marketing,25,NA,11,17,NA,2010-05-27,37,8,NA,NA,NA,NA
Angus Reid Public Opinion,27,NA,9,19,NA,2010-05-27,35,8,NA,NA,NA,NA
Environics,30,NA,10,15,NA,2010-05-26,36,7,NA,NA,NA,NA
EKOS Research Associates,25.7,NA,9.4,16.4,NA,2010-05-25,33.9,11.9,NA,NA,NA,NA
Harris-Decima,27,NA,8,16,NA,2010-05-23,36,11,NA,NA,NA,NA
EKOS Research Associates,25.1,NA,10.6,15.3,NA,2010-05-18,34.4,12,NA,NA,NA,NA
Harris-Decima,28,NA,10,17,NA,2010-05-16,32,11,NA,NA,NA,NA
EKOS Research Associates,27.1,NA,9.3,16.9,NA,2010-05-11,33.6,10.6,NA,NA,NA,NA
Ipsos Reid,29,NA,10,16,NA,2010-05-06,35,9,NA,NA,NA,NA
EKOS Research Associates,26.1,NA,10.2,16,NA,2010-05-04,33.1,11.5,NA,NA,NA,NA
Nanos Research,33.2,NA,9.6,16.2,NA,2010-05-03,37.2,3.8,NA,NA,NA,NA
Angus Reid Public Opinion,28,NA,11,19,NA,2010-04-29,35,7,NA,NA,NA,NA
Leger Marketing,25,NA,9,20,NA,2010-04-29,36,8,NA,NA,NA,NA
EKOS Research Associates,26.6,NA,9.7,17.6,NA,2010-04-27,31.9,10.9,NA,NA,NA,NA
Harris-Decima,27,NA,11,20,NA,2010-04-25,29,12,NA,NA,NA,NA
Ipsos Reid,29,NA,9,16,NA,2010-04-22,35,10,NA,NA,NA,NA
